Category,Message,clean_message
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",know god creat gap finger one made come amp fill gap hold hand love
ham,Hahaha..use your brain dear,hahahaus brain dear
ham,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.,agre stop thinkin ipad pleas ask macho question
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june.",hey chief give bell get need talk royal visit st june
ham,I.ll get there tomorrow and send it to you,ill get tomorrow send
ham,Do u hav any frnd by name ashwini in ur college?,u hav frnd name ashwini ur colleg
ham,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.,meet rite ill go home lor dun feel like comin ok
ham,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair.,dunno juz askin co got card got salon call hair sens tot da one cut ur hair
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday
ham,Or I guess  &lt;#&gt;  min,guess ltgt min
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,pen thing beyond joke wont biro dont master cant ever
ham,There the size of elephant tablets & u shove um up ur ass!!,size eleph tablet u shove um ur ass
ham,Sorry about that this is my mates phone and i didnt write it love Kate,sorri mate phone didnt write love kate
ham,Aight ill get on fb in a couple minutes,aight ill get fb coupl minut
ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,lol realli need rememb eat im drink appreci keep compani night babe smile
ham,Mathews or tait or edwards or anderson,mathew tait edward anderson
ham,How do you guys go to see movies on your side.,guy go see movi side
ham,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",hello love goe day wish well fine babe hope find job prospect miss boytoy teas kiss
ham,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",fri ah oki lorgoin drivin den go shoppin tt
ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,k ill drinkpa need sr model pl send mail id pa
ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,left vagu said would inform person account delay rent discuss hous agenc rent anoth place check onlin place around usc ltgt
ham,Also remember to get dobby's bowl from your car,also rememb get dobbi bowl car
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",hey want crave miss need love ahmad saeed al hallaq
ham,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?,slaaaaav must summon time dont wish come anymor
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,yeah got v apologet n fallen actin like spoilt child got caught till wont go badli cheer
ham,LOL ... No just was busy,lol busi
ham,Nice.nice.how is it working?,nicenicehow work
ham,Oh k.i think most of wi and nz players unsold.,oh ki think wi nz player unsold
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmmmi uncl inform he pay school directli pl buy food
ham,Ok...,ok
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,usual bodi take care buy make sure doesnt progress pl continu talk saturday
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",well im gonna finish bath goodfin night
ham,"No, I was trying it all weekend ;V",tri weekend v
ham,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,thk shd ok said plu minu leav line paragraph
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",sign matur start say big thing actual start understand small thing nice even bslvyl
ham,Hey you can pay. With salary de. Only  &lt;#&gt; .,hey pay salari de ltgt
ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",think might give miss teach til twelv lectur two damn work thing
ham,Talk to g and x about that,talk g x
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,somewher beneath pale moon light someon think u dream come true goodnit amp sweet dream
ham,"Sorry that took so long, omw now",sorri took long omw
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,baaaaab misss youuuuu go teach class
ham,Nokia phone is lovly..,nokia phone lovli
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow",damn make tonight want wait til tomorrow
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",ill alway even spirit ill get bb soon tri sure need
ham,Lol for real. She told my dad I have cancer,lol real told dad cancer
ham,i want to grasp your pretty booty :),want grasp pretti booti
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,back bit long co accid divert via wadebridgei brilliant weekend thank speak soon lot love
ham,Its too late:)but its k.wish you the same.,latebut kwish
ham,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV",yeh def someth satjust got payedday havbeen given pay rise work havebeen made preschoolcoordin feelingood luv
ham,Does daddy have a bb now.,daddi bb
spam,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",hot live fantasi call p per min ntt ltd po box croydon cr wb nation rate call
spam,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,urgent mobil number award bonu caller prize call land line valid hr
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,privat account statement show unredeem point call identifi code expir
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876",mila age blond new uk look sex uk guy u like fun text mtalk pptxt st free increment help
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",urgent urgent free flight europ give away call b th sept take friend free call claim bannfwflyppm
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,hey realli horni want chat see nake text hot text charg pm unsubscrib text stop
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",uve select stay top british hotel noth holiday valu dial claim nation rate call bx swss
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,win year suppli cd store ur choic worth enter weekli draw txt music tsc
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,free entri weekli comp chanc win ipod txt pod get entri std txt rate tc appli detail
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,rip get mobil content call polytruepixringtonesgam six download
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,enjoy jamster videosound gold club credit new videosound logosmusicnew get fun jamstercouk help call
spam,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,guarante cash prizeto claim yr prize call custom servic repres
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,privat account statement show unredeem sim point call identifi code expir
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,hi ibh custom loyalti offer new nokia mobil txtauctiontxt wordstart get nowt
spam,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",urgent pleas call landlin complimentari lux costa del sol holiday cash await collect ppm sae tc jame ehrr
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,dont know u u dont know send chat let find pmsg rcvd hgsuitelandsrowwjhl ldn year
spam,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,free entri weekli comp send word win tc
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,get ur st rington free repli msg tone gr top tone phone everi week per wk opt send stop
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,great news call freefon claim guarante cash gift speak live oper
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",new mobil must go txt nokia collect todayfrom optout gbpmtmsg
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",last chanc claim ur worth discount voucher today text shop savamob offer mobil cs savamob pobox muz sub
spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p,sport fan get latest sport news str ur mobil wk free plu free tone txt sport norm txtp
spam,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",today offer claim ur worth discount voucher text ye savamob member offer mobil cs sub unsub repli x
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,valu vodafon custom comput pick win prize collect easi call
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,ur cashbal current pound maxim ur cashin send go pmsg cc po box tcrw
spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",upgrdcentr orang custom may claim free camera phone upgrad loyalti call offer end th juli tc appli optout avail
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate",nd time tri contact u u pound prize claim easi call p per min btnationalr
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,ask mobil chatlin inclu free min india cust serv sed ye ler got mega bill dont giv shit bailiff due day want
spam,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",congratul thank good friend u xma prize claim easi call p per minut btnationalr
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,summer final fanci chat flirt sexi singl yr area get match repli summer free join optout txt stop help
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL",pdatenow doubl min txt orang tariff latest motorola sonyericsson nokia bluetooth free call mobileupd calloptoutyhl
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",hi babe jordan r u im home abroad lone text back u wanna chat xxsp visionsmscom text stop stopcost p
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",orang bring rington time chart hero free hit week go rington pic wap stop receiv tip repli stop
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,bloomberg messag center wait appli futur bloombergcom
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",cash prize claim call
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,heard u call rude chat privat line cum wan c pic gettin shag text pix end send stop sam xxx
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",eeri nokia tone u rpli tone titl eg tone dracula titl ghost addamsfa munster exorcist twilight poboxwwq p
spam,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",ur chanc win cash everi wk txt action tsc custcar xpwk
spam,You have 1 new message. Call 0207-083-6089,new messag call
